frame,x_cm,y_cm,theta,detected
2021,28.93655462184867,29.53459383753495,166.0950053391014,0
2022,28.757142857142792,29.696918767506936,170.89825893942708,0
2023,28.57773109243691,29.859243697478924,175.31993103027344,0
2024,28.57773109243691,29.859243697478924,175.31993103027344,0
2025,28.57773109243691,29.859243697478924,175.31993103027344,0
2026,28.57773109243691,29.859243697478924,175.31993103027344,0
2027,28.57773109243691,29.859243697478924,175.31993103027344,0
2028,28.57773109243691,29.859243697478924,175.31993103027344,0
2029,28.57773109243691,29.859243697478924,175.31993103027344,0
2030,28.57773109243691,29.859243697478924,175.31993103027344,0
2031,28.57773109243691,29.859243697478924,175.31993103027344,0
2032,28.57773109243691,29.859243697478924,175.31993103027344,0
2033,28.57773109243691,29.859243697478924,175.31993103027344,0
2034,28.57773109243691,29.859243697478924,175.31993103027344,0
2035,28.57773109243691,29.859243697478924,175.31993103027344,0
2036,28.57773109243691,29.859243697478924,175.31993103027344,0
2037,28.57773109243691,29.859243697478924,175.31993103027344,0
2038,28.57773109243691,29.859243697478924,175.31993103027344,0
2039,28.57773109243691,29.859243697478924,175.31993103027344,0
2040,28.57773109243691,29.859243697478924,175.31993103027344,0
2041,28.57773109243691,29.859243697478924,175.31993103027344,0
2042,28.57773109243691,29.859243697478924,175.31993103027344,0
2043,28.57773109243691,29.859243697478924,175.31993103027344,0
2044,28.57773109243691,29.859243697478924,175.31993103027344,0
2045,28.57773109243691,29.859243697478924,175.31993103027344,0
2046,28.57773109243691,29.859243697478924,175.31993103027344,0
2047,28.57773109243691,29.859243697478924,175.31993103027344,0
2048,28.57773109243691,29.859243697478924,175.31993103027344,0
2049,28.57773109243691,29.859243697478924,175.31993103027344,0
2050,28.57773109243691,29.859243697478924,175.31993103027344,0
2051,28.57773109243691,29.859243697478924,175.31993103027344,0
2052,28.57773109243691,29.859243697478924,175.31993103027344,0
2053,28.57773109243691,29.859243697478924,175.31993103027344,0
2054,28.57773109243691,29.859243697478924,175.31993103027344,0
2055,28.57773109243691,29.859243697478924,175.31993103027344,0
2056,28.57773109243691,29.859243697478924,175.31993103027344,0
2057,28.57773109243691,29.859243697478924,175.31993103027344,0
2058,28.57773109243691,29.859243697478924,175.31993103027344,0
2059,28.57773109243691,29.859243697478924,175.31993103027344,0
2060,28.57773109243691,29.859243697478924,175.31993103027344,0
2061,28.57773109243691,29.859243697478924,175.31993103027344,0
2062,28.57773109243691,29.859243697478924,175.31993103027344,0
2063,28.57773109243691,29.859243697478924,175.31993103027344,0
2064,28.57773109243691,29.859243697478924,175.31993103027344,0
2065,28.57773109243691,29.859243697478924,175.31993103027344,0
2066,28.57773109243691,29.859243697478924,175.31993103027344,0
2067,28.57773109243691,29.859243697478924,175.31993103027344,0
2068,28.57773109243691,29.859243697478924,175.31993103027344,0
2069,28.57773109243691,29.859243697478924,175.31993103027344,0
2070,28.57773109243691,29.859243697478924,175.31993103027344,0
2071,28.57773109243691,29.859243697478924,175.31993103027344,0
2072,28.57773109243691,29.859243697478924,175.31993103027344,0
2073,28.57773109243691,29.859243697478924,175.31993103027344,0
2074,28.57773109243691,29.859243697478924,175.31993103027344,0
2075,28.57773109243691,29.859243697478924,175.31993103027344,0
2076,28.57773109243691,29.859243697478924,175.31993103027344,0
2077,28.57773109243691,29.859243697478924,175.31993103027344,0
2078,28.57773109243691,29.859243697478924,175.31993103027344,0
2079,28.57773109243691,29.859243697478924,175.31993103027344,0
2080,28.57773109243691,29.859243697478924,175.31993103027344,0
2081,28.57773109243691,29.859243697478924,175.31993103027344,0
2082,28.57773109243691,29.859243697478924,175.31993103027344,0
2083,28.57773109243691,29.859243697478924,175.31993103027344,0
2084,28.57773109243691,29.859243697478924,175.31993103027344,0
2085,28.57773109243691,29.859243697478924,175.31993103027344,0
2086,28.57773109243691,29.859243697478924,175.31993103027344,0
2087,28.57773109243691,29.859243697478924,175.31993103027344,0
2088,28.57773109243691,29.859243697478924,175.31993103027344,0
2089,28.57773109243691,29.859243697478924,175.31993103027344,0
2090,28.57773109243691,29.859243697478924,175.31993103027344,0
2091,28.57773109243691,29.859243697478924,175.31993103027344,0
2092,28.57773109243691,29.859243697478924,175.31993103027344,0
2093,28.57773109243691,29.859243697478924,175.31993103027344,0
2094,28.57773109243691,29.859243697478924,175.31993103027344,0
2095,28.57773109243691,29.859243697478924,175.31993103027344,0
2096,28.57773109243691,29.859243697478924,175.31993103027344,0
2097,28.57773109243691,29.859243697478924,175.31993103027344,0
2098,28.57773109243691,29.859243697478924,175.31993103027344,0
2099,28.57773109243691,29.859243697478924,175.31993103027344,0
2100,28.57773109243691,29.859243697478924,175.31993103027344,0
2101,28.57773109243691,29.859243697478924,175.31993103027344,0
2102,28.57773109243691,29.859243697478924,175.31993103027344,0
2103,28.57773109243691,29.859243697478924,175.31993103027344,0
2104,28.57773109243691,29.859243697478924,175.31993103027344,0
2105,28.57773109243691,29.859243697478924,175.31993103027344,0
2106,28.57773109243691,29.859243697478924,175.31993103027344,0
2107,28.57773109243691,29.859243697478924,175.31993103027344,0
2108,28.57773109243691,29.859243697478924,175.31993103027344,0
2109,28.57773109243691,29.859243697478924,175.31993103027344,0
2110,28.57773109243691,29.859243697478924,175.31993103027344,0
2111,28.57773109243691,29.859243697478924,175.31993103027344,0
2112,28.57773109243691,29.859243697478924,175.31993103027344,0
2113,28.57773109243691,29.859243697478924,175.31993103027344,0
2114,28.57773109243691,29.859243697478924,175.31993103027344,0
2115,28.57773109243691,29.859243697478924,175.31993103027344,0
2116,28.57773109243691,29.859243697478924,175.31993103027344,0
2117,28.57773109243691,29.859243697478924,175.31993103027344,0
2118,28.57773109243691,29.859243697478924,175.31993103027344,0
2119,28.57773109243691,29.859243697478924,175.31993103027344,0
2120,28.57773109243691,29.859243697478924,175.31993103027344,0
2121,28.57773109243691,29.859243697478924,175.31993103027344,0
2122,28.57773109243691,29.859243697478924,175.31993103027344,0
2123,28.57773109243691,29.859243697478924,175.31993103027344,0
2124,28.57773109243691,29.859243697478924,175.31993103027344,0
2125,28.57773109243691,29.859243697478924,175.31993103027344,0
2126,28.57773109243691,29.859243697478924,175.31993103027344,0
2127,28.57773109243691,29.859243697478924,175.31993103027344,0
2128,28.57773109243691,29.859243697478924,175.31993103027344,0
2129,28.57773109243691,29.859243697478924,175.31993103027344,0
2130,28.57773109243691,29.859243697478924,175.31993103027344,0
2131,28.57773109243691,29.859243697478924,175.31993103027344,0
2132,28.57773109243691,29.859243697478924,175.31993103027344,0
2133,28.57773109243691,29.859243697478924,175.31993103027344,0
2134,28.57773109243691,29.859243697478924,175.31993103027344,0
2135,28.57773109243691,29.859243697478924,175.31993103027344,0
2136,28.57773109243691,29.859243697478924,175.31993103027344,0
2137,28.57773109243691,29.859243697478924,175.31993103027344,0
2138,28.57773109243691,29.859243697478924,175.31993103027344,0
2139,28.57773109243691,29.859243697478924,175.31993103027344,0
2140,28.57773109243691,29.859243697478924,175.31993103027344,0
2141,28.57773109243691,29.859243697478924,175.31993103027344,0
2142,28.57773109243691,29.859243697478924,175.31993103027344,0
2143,28.57773109243691,29.859243697478924,175.31993103027344,0
2144,28.57773109243691,29.859243697478924,175.31993103027344,0
2145,28.57773109243691,29.859243697478924,175.31993103027344,0
2146,28.57773109243691,29.859243697478924,175.31993103027344,0
2147,28.57773109243691,29.859243697478924,175.31993103027344,0
2148,28.57773109243691,29.859243697478924,175.31993103027344,0
2149,28.57773109243691,29.859243697478924,175.31993103027344,0
2150,28.57773109243691,29.859243697478924,175.31993103027344,0
2151,28.57773109243691,29.859243697478924,175.31993103027344,0
2152,28.57773109243691,29.859243697478924,175.31993103027344,0
2153,28.57773109243691,29.859243697478924,175.31993103027344,0
2154,28.57773109243691,29.859243697478924,175.31993103027344,0
2155,28.57773109243691,29.859243697478924,175.31993103027344,0
2156,28.57773109243691,29.859243697478924,175.31993103027344,0
